Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Maya Home,,,,2022-04-21 17:28:31,2022-04-21 17:36:25,7m - 54.186s,ERROR
,,,,,,,
Test Cases/MayaHome/mayahome_CESearchProperties,,,,2022-04-21 17:28:31,2022-04-21 17:29:50,1m - 18.622s,PASSED
"startApplication(appPathSIT, false)",,,,2022-04-21 17:28:31,2022-04-21 17:28:44,12.137s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 1/dashboard - more3dotsBtn""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-21 17:28:44,2022-04-21 17:28:49,5.415s,PASSED
delay(3),,,,2022-04-21 17:28:49,2022-04-21 17:28:52,3.021s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 3/home2u - Btn""), 0)",,,,2022-04-21 17:28:52,2022-04-21 17:28:56,3.971s,PASSED
"if (verifyElementVisible(findTestObject(""Login Onboarding/onboardWelcomeSkipBtn""), 0, OPTIONAL))",,,,2022-04-21 17:28:56,2022-04-21 17:29:16,20.255s,PASSED
else,,,,2022-04-21 17:29:16,2022-04-21 17:29:16,0.000s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/property - Header""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-21 17:29:16,2022-04-21 17:29:17,0.406s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/discover - Header""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-21 17:29:17,2022-04-21 17:29:17,0.377s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 1/Search properties - Txtfield""), 0)",,,,2022-04-21 17:29:17,2022-04-21 17:29:18,0.538s,PASSED
"setText(findTestObject(""MayaHome/mayahome - MobileSpy 1/searchproperties - editTxt""), findTestData(""mayahomeCredentials"").getValue(3, 1), 0)",,,,2022-04-21 17:29:18,2022-04-21 17:29:19,1.802s,PASSED
hideKeyboard(),,,,2022-04-21 17:29:19,2022-04-21 17:29:21,1.325s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-04-21 17:29:21,2022-04-21 17:29:23,2.005s,PASSED
"waitForElementPresent(findTestObject(""MayaHome/mayahome - MobileSpy 2/propertyDisplayCard - Frame""), 0)",,,,2022-04-21 17:29:23,2022-04-21 17:29:23,0.477s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 2/propertyDisplayCard - Frame""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-21 17:29:23,2022-04-21 17:29:23,0.168s,PASSED
"doubleTap(findTestObject(""MayaHome/mayahome - MobileSpy 2/propertyDisplayCard - Frame""), 0)",,,,2022-04-21 17:29:23,2022-04-21 17:29:25,1.701s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-04-21 17:29:25,2022-04-21 17:29:28,3.003s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertyName - Txt""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-21 17:29:28,2022-04-21 17:29:28,0.348s,PASSED
