Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Maya Home,,,,2022-04-26 08:37:02,2022-04-26 08:46:00,8m - 57.266s,FAILED
,,,,,,,
Test Cases/MayaHome/mayahome_CESearchProperties,,,,2022-04-26 08:37:03,2022-04-26 08:38:29,1m - 26.620s,PASSED
"startApplication(appPathSIT, false)",,,,2022-04-26 08:37:03,2022-04-26 08:37:16,12.970s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 1/dashboard - more3dotsBtn""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:37:16,2022-04-26 08:37:21,5.479s,PASSED
delay(3),,,,2022-04-26 08:37:21,2022-04-26 08:37:24,3.019s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 3/home2u - Btn""), 0)",,,,2022-04-26 08:37:24,2022-04-26 08:37:28,3.660s,PASSED
"if (verifyElementVisible(findTestObject(""Login Onboarding/onboardWelcomeSkipBtn""), 0, OPTIONAL))",,,,2022-04-26 08:37:28,2022-04-26 08:37:49,20.616s,PASSED
else,,,,2022-04-26 08:37:49,2022-04-26 08:37:49,0.000s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/property - Header""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:37:49,2022-04-26 08:37:49,0.832s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/discover - Header""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:37:49,2022-04-26 08:37:50,0.844s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 1/Search properties - Txtfield""), 0)",,,,2022-04-26 08:37:50,2022-04-26 08:37:51,0.718s,PASSED
"setText(findTestObject(""MayaHome/mayahome - MobileSpy 1/searchproperties - editTxt""), findTestData(""mayahomeCredentials"").getValue(3, 1), 0)",,,,2022-04-26 08:37:51,2022-04-26 08:37:54,2.908s,PASSED
hideKeyboard(),,,,2022-04-26 08:37:54,2022-04-26 08:37:55,0.888s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-04-26 08:37:55,2022-04-26 08:37:57,2.004s,PASSED
"waitForElementPresent(findTestObject(""MayaHome/mayahome - MobileSpy 2/propertyDisplayCard - Frame""), 0)",,,,2022-04-26 08:37:57,2022-04-26 08:37:58,0.866s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 2/propertyDisplayCard - Frame""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:37:58,2022-04-26 08:37:58,0.183s,PASSED
"doubleTap(findTestObject(""MayaHome/mayahome - MobileSpy 2/propertyDisplayCard - Frame""), 0)",,,,2022-04-26 08:37:58,2022-04-26 08:38:00,1.717s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-04-26 08:38:00,2022-04-26 08:38:03,3.003s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertyName - Txt""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:38:03,2022-04-26 08:38:03,0.684s,PASSED
"propertyName = getText(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertyName - Txt""), 0)",,,,2022-04-26 08:38:03,2022-04-26 08:38:04,0.514s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertyPrice - Txt""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:38:04,2022-04-26 08:38:05,1.021s,PASSED
"propertyPrice = getText(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertyPrice - Txt""), 0)",,,,2022-04-26 08:38:05,2022-04-26 08:38:06,0.974s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertySize - Txt""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:38:06,2022-04-26 08:38:06,0.502s,PASSED
"propertySize = getText(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertySize - Txt""), 0)",,,,2022-04-26 08:38:06,2022-04-26 08:38:07,0.426s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/unitType - txt""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:38:07,2022-04-26 08:38:07,0.462s,PASSED
"unitType = getText(findTestObject(""MayaHome/mayahome - MobileSpy 6/unitType - txt""), 0)",,,,2022-04-26 08:38:07,2022-04-26 08:38:08,0.447s,PASSED
"scrollToText(""Unit Types"")",,,,2022-04-26 08:38:08,2022-04-26 08:38:14,5.965s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/unitType - Header""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:38:14,2022-04-26 08:38:14,0.641s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/unitTypeVisualCard1 - Img""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:38:14,2022-04-26 08:38:15,0.506s,PASSED
