Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Maya Home,,,,2022-04-04 16:01:10,2022-04-04 16:06:23,5m - 12.970s,PASSED
,,,,,,,
Test Cases/MayaHome/mayahome_CESearchProperties,,,,2022-04-04 16:01:10,2022-04-04 16:02:07,56.959s,PASSED
try,,,,2022-04-04 16:01:10,2022-04-04 16:02:07,56.665s,PASSED
,,,,,,,
Test Cases/MayaHome/mayahome_CEAgreementCheck,,,,2022-04-04 16:02:07,2022-04-04 16:02:46,39.695s,PASSED
try,,,,2022-04-04 16:02:07,2022-04-04 16:02:46,39.469s,PASSED
,,,,,,,
Test Cases/MayaHome/mayahome_CEAgentPropertyData,,,,2022-04-04 16:02:46,2022-04-04 16:03:00,13.331s,PASSED
try,,,,2022-04-04 16:02:47,2022-04-04 16:03:00,13.094s,PASSED
,,,,,,,
Test Cases/MayaHome/mayahome_CEUnitType,,,,2022-04-04 16:03:00,2022-04-04 16:03:07,7.420s,PASSED
try,,,,2022-04-04 16:03:00,2022-04-04 16:03:07,7.223s,PASSED
,,,,,,,
Test Cases/MayaHome/mayahome_CEReviewApplication,,,,2022-04-04 16:03:07,2022-04-04 16:06:23,3m - 15.330s,PASSED
try,,,,2022-04-04 16:03:08,2022-04-04 16:06:23,3m - 14.960s,FAILED
catch (Exception e),,,,2022-04-04 16:06:23,2022-04-04 16:06:23,0.000s,PASSED
