Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Maya Home,,,,2022-04-05 11:14:25,2022-04-05 11:19:18,4m - 53.163s,PASSED
,,,,,,,
Test Cases/MayaHome/mayahome_CESearchProperties,,,,2022-04-05 11:14:25,2022-04-05 11:15:22,56.889s,PASSED
try,,,,2022-04-05 11:14:25,2022-04-05 11:15:22,56.595s,PASSED
,,,,,,,
Test Cases/MayaHome/mayahome_CEAgreementCheck,,,,2022-04-05 11:15:22,2022-04-05 11:15:54,32.372s,PASSED
try,,,,2022-04-05 11:15:22,2022-04-05 11:15:54,32.139s,PASSED
,,,,,,,
Test Cases/MayaHome/mayahome_CEAgentPropertyData,,,,2022-04-05 11:15:54,2022-04-05 11:16:06,11.411s,PASSED
try,,,,2022-04-05 11:15:55,2022-04-05 11:16:06,11.170s,PASSED
,,,,,,,
Test Cases/MayaHome/mayahome_CEUnitType,,,,2022-04-05 11:16:06,2022-04-05 11:16:13,7.593s,PASSED
try,,,,2022-04-05 11:16:06,2022-04-05 11:16:13,7.369s,PASSED
,,,,,,,
Test Cases/MayaHome/mayahome_CEReviewApplication,,,,2022-04-05 11:16:13,2022-04-05 11:19:18,3m - 4.663s,PASSED
try,,,,2022-04-05 11:16:14,2022-04-05 11:19:18,3m - 4.390s,FAILED
catch (Exception e),,,,2022-04-05 11:19:18,2022-04-05 11:19:18,0.001s,PASSED
