Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Maya Home,,,,2022-05-17 11:01:54,2022-05-17 11:08:46,6m - 51.741s,FAILED
,,,,,,,
Test Cases/MayaHome/MH_Homepage,,,,2022-05-17 11:01:54,2022-05-17 11:02:39,44.677s,PASSED
"startApplication(appPathSIT, false)",,,,2022-05-17 11:01:54,2022-05-17 11:02:06,11.869s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 1/dashboard - more3dotsBtn""), 0, CONTINUE_ON_FAILURE)",,,,2022-05-17 11:02:06,2022-05-17 11:02:11,4.824s,PASSED
delay(3),,,,2022-05-17 11:02:11,2022-05-17 11:02:14,3.021s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 3/home2u - Btn""), 0)",,,,2022-05-17 11:02:14,2022-05-17 11:02:18,3.823s,PASSED
"if (verifyElementVisible(findTestObject(""Login Onboarding/onboardWelcomeSkipBtn""), 0, OPTIONAL))",,,,2022-05-17 11:02:18,2022-05-17 11:02:38,20.135s,PASSED
else,,,,2022-05-17 11:02:38,2022-05-17 11:02:38,0.001s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/property - Header""), 0, CONTINUE_ON_FAILURE)",,,,2022-05-17 11:02:38,2022-05-17 11:02:38,0.356s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/discover - Header""), 0, CONTINUE_ON_FAILURE)",,,,2022-05-17 11:02:38,2022-05-17 11:02:39,0.370s,PASSED
,,,,,,,
Test Cases/MayaHome/MH_SearchProperties_01,,,,2022-05-17 11:02:39,2022-05-17 11:02:49,9.775s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 1/Search properties - Txtfield""), 0)",,,,2022-05-17 11:02:39,2022-05-17 11:02:40,0.648s,PASSED
"setText(findTestObject(""MayaHome/mayahome - MobileSpy 1/searchproperties - editTxt""), ""!@#$"", 0)",,,,2022-05-17 11:02:40,2022-05-17 11:02:42,2.371s,PASSED
hideKeyboard(),,,,2022-05-17 11:02:42,2022-05-17 11:02:43,1.063s,PASSED
"setText(findTestObject(""MayaHome/mayahome - MobileSpy 1/searchproperties - editTxt""), ""12345"", 0)",,,,2022-05-17 11:02:43,2022-05-17 11:02:46,3.122s,PASSED
hideKeyboard(),,,,2022-05-17 11:02:46,2022-05-17 11:02:47,0.430s,PASSED
"setText(findTestObject(""MayaHome/mayahome - MobileSpy 1/searchproperties - editTxt""), ""Resi"", 0)",,,,2022-05-17 11:02:47,2022-05-17 11:02:48,0.906s,PASSED
hideKeyboard(),,,,2022-05-17 11:02:48,2022-05-17 11:02:48,0.549s,PASSED
"waitForElementPresent(findTestObject(""MayaHome/mayahome - MobileSpy 2/propertyDisplayCard - Frame""), 0)",,,,2022-05-17 11:02:48,2022-05-17 11:02:48,0.238s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 2/propertyDisplayCard - Frame""), 0, CONTINUE_ON_FAILURE)",,,,2022-05-17 11:02:48,2022-05-17 11:02:49,0.222s,PASSED
,,,,,,,
Test Cases/MayaHome/MH_SearchProperties_02,,,,2022-05-17 11:02:49,2022-05-17 11:03:01,12.187s,PASSED
"setText(findTestObject(""MayaHome/mayahome - MobileSpy 1/searchproperties - editTxt""), findTestData(""propertyDetails"").getValue(3, 1), 0)",,,,2022-05-17 11:02:49,2022-05-17 11:02:52,3.196s,PASSED
hideKeyboard(),,,,2022-05-17 11:02:52,2022-05-17 11:02:52,0.442s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-05-17 11:02:52,2022-05-17 11:02:54,2.003s,PASSED
"waitForElementPresent(findTestObject(""MayaHome/mayahome - MobileSpy 2/propertyDisplayCard - Frame""), 0)",,,,2022-05-17 11:02:54,2022-05-17 11:02:56,1.345s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 2/propertyDisplayCard - Frame""), 0, CONTINUE_ON_FAILURE)",,,,2022-05-17 11:02:56,2022-05-17 11:02:56,0.187s,PASSED
"doubleTap(findTestObject(""MayaHome/mayahome - MobileSpy 2/propertyDisplayCard - Frame""), 0)",,,,2022-05-17 11:02:56,2022-05-17 11:02:58,1.736s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-05-17 11:02:58,2022-05-17 11:03:01,3.002s,PASSED
,,,,,,,
Test Cases/MayaHome/MH_PropertyView,,,,2022-05-17 11:03:01,2022-05-17 11:03:40,39.466s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertyName - Txt""), 0, CONTINUE_ON_FAILURE)",,,,2022-05-17 11:03:01,2022-05-17 11:03:02,0.712s,PASSED
"propertyName = getText(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertyName - Txt""), 0)",,,,2022-05-17 11:03:02,2022-05-17 11:03:02,0.266s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertyPrice - Txt""), 0, CONTINUE_ON_FAILURE)",,,,2022-05-17 11:03:02,2022-05-17 11:03:02,0.263s,PASSED
"propertyPrice = getText(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertyPrice - Txt""), 0)",,,,2022-05-17 11:03:02,2022-05-17 11:03:02,0.260s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertySize - Txt""), 0, CONTINUE_ON_FAILURE)",,,,2022-05-17 11:03:02,2022-05-17 11:03:03,0.288s,PASSED
"propertySize = getText(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertySize - Txt""), 0)",,,,2022-05-17 11:03:03,2022-05-17 11:03:03,0.249s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/unitType - txt""), 0, CONTINUE_ON_FAILURE)",,,,2022-05-17 11:03:03,2022-05-17 11:03:03,0.288s,PASSED
"unitType = getText(findTestObject(""MayaHome/mayahome - MobileSpy 6/unitType - txt""), 0)",,,,2022-05-17 11:03:03,2022-05-17 11:03:04,0.273s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 9/3dotsTopRightCorner - Btn""), 0, STOP_ON_FAILURE)",,,,2022-05-17 11:03:04,2022-05-17 11:03:04,0.457s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 9/sharePropertyLink - Btn""), 0, STOP_ON_FAILURE)",,,,2022-05-17 11:03:04,2022-05-17 11:03:06,1.811s,PASSED
delay(3),,,,2022-05-17 11:03:06,2022-05-17 11:03:09,3.005s,PASSED
pressBack(STOP_ON_FAILURE),,,,2022-05-17 11:03:09,2022-05-17 11:03:09,0.132s,PASSED
delay(2),,,,2022-05-17 11:03:09,2022-05-17 11:03:11,2.004s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 9/bookmarkProperty - Btn""), 0, STOP_ON_FAILURE)",,,,2022-05-17 11:03:11,2022-05-17 11:03:11,0.327s,PASSED
delay(3),,,,2022-05-17 11:03:11,2022-05-17 11:03:14,3.004s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 9/bookmarkProperty - Btn""), 0, STOP_ON_FAILURE)",,,,2022-05-17 11:03:14,2022-05-17 11:03:15,0.424s,PASSED
delay(2),,,,2022-05-17 11:03:15,2022-05-17 11:03:17,2.005s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 9/gpsLocatorLink - Btn""), 0, STOP_ON_FAILURE)",,,,2022-05-17 11:03:17,2022-05-17 11:03:17,0.592s,PASSED
delay(3),,,,2022-05-17 11:03:17,2022-05-17 11:03:20,3.004s,PASSED
pressBack(STOP_ON_FAILURE),,,,2022-05-17 11:03:20,2022-05-17 11:03:21,0.197s,PASSED
"scrollToText(""Unit Types"")",,,,2022-05-17 11:03:21,2022-05-17 11:03:27,6.471s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/unitType - Header""), 0, CONTINUE_ON_FAILURE)",,,,2022-05-17 11:03:27,2022-05-17 11:03:28,0.510s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/unitTypeVisualCard1 - Img""), 0, CONTINUE_ON_FAILURE)",,,,2022-05-17 11:03:28,2022-05-17 11:03:28,0.397s,PASSED
"scrollToText(""Check Eligibility"")",,,,2022-05-17 11:03:28,2022-05-17 11:03:39,11.212s,PASSED
