Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Maya Home,,,,2022-04-26 08:12:56,2022-04-26 08:21:16,8m - 19.681s,FAILED
,,,,,,,
Test Cases/MayaHome/mayahome_CESearchProperties,,,,2022-04-26 08:12:56,2022-04-26 08:14:01,1m - 4.794s,PASSED
"startApplication(appPathSIT, false)",,,,2022-04-26 08:12:57,2022-04-26 08:13:10,13.448s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 1/dashboard - more3dotsBtn""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:13:10,2022-04-26 08:13:15,5.353s,PASSED
delay(3),,,,2022-04-26 08:13:15,2022-04-26 08:13:18,3.016s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 3/home2u - Btn""), 0)",,,,2022-04-26 08:13:18,2022-04-26 08:13:20,1.649s,PASSED
"if (verifyElementVisible(findTestObject(""Login Onboarding/onboardWelcomeSkipBtn""), 0, OPTIONAL))",,,,2022-04-26 08:13:20,2022-04-26 08:13:23,3.008s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/property - Header""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:13:23,2022-04-26 08:13:28,4.611s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/discover - Header""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:13:28,2022-04-26 08:13:28,0.505s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 1/Search properties - Txtfield""), 0)",,,,2022-04-26 08:13:28,2022-04-26 08:13:29,0.750s,PASSED
"setText(findTestObject(""MayaHome/mayahome - MobileSpy 1/searchproperties - editTxt""), findTestData(""mayahomeCredentials"").getValue(3, 1), 0)",,,,2022-04-26 08:13:29,2022-04-26 08:13:31,2.094s,PASSED
hideKeyboard(),,,,2022-04-26 08:13:31,2022-04-26 08:13:32,0.871s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2022-04-26 08:13:32,2022-04-26 08:13:34,2.006s,PASSED
"waitForElementPresent(findTestObject(""MayaHome/mayahome - MobileSpy 2/propertyDisplayCard - Frame""), 0)",,,,2022-04-26 08:13:34,2022-04-26 08:13:35,1.412s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 2/propertyDisplayCard - Frame""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:13:35,2022-04-26 08:13:35,0.234s,PASSED
"doubleTap(findTestObject(""MayaHome/mayahome - MobileSpy 2/propertyDisplayCard - Frame""), 0)",,,,2022-04-26 08:13:35,2022-04-26 08:13:37,1.819s,PASSED
"delay(3, STOP_ON_FAILURE)",,,,2022-04-26 08:13:37,2022-04-26 08:13:40,3.006s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertyName - Txt""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:13:40,2022-04-26 08:13:41,0.426s,PASSED
"propertyName = getText(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertyName - Txt""), 0)",,,,2022-04-26 08:13:41,2022-04-26 08:13:41,0.331s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertyPrice - Txt""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:13:41,2022-04-26 08:13:41,0.311s,PASSED
"propertyPrice = getText(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertyPrice - Txt""), 0)",,,,2022-04-26 08:13:41,2022-04-26 08:13:42,0.356s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertySize - Txt""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:13:42,2022-04-26 08:13:42,0.297s,PASSED
"propertySize = getText(findTestObject(""MayaHome/mayahome - MobileSpy 6/propertySize - Txt""), 0)",,,,2022-04-26 08:13:42,2022-04-26 08:13:42,0.284s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/unitType - txt""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:13:42,2022-04-26 08:13:43,0.307s,PASSED
"unitType = getText(findTestObject(""MayaHome/mayahome - MobileSpy 6/unitType - txt""), 0)",,,,2022-04-26 08:13:43,2022-04-26 08:13:43,0.288s,PASSED
"scrollToText(""Unit Types"")",,,,2022-04-26 08:13:43,2022-04-26 08:13:48,4.998s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/unitType - Header""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:13:48,2022-04-26 08:13:49,0.618s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/unitTypeVisualCard1 - Img""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:13:49,2022-04-26 08:13:49,0.435s,PASSED
"scrollToText(""Check Eligibility"")",,,,2022-04-26 08:13:49,2022-04-26 08:14:00,11.005s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/developer - Header""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:14:00,2022-04-26 08:14:00,0.186s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/developerNameCEscreen - Txt""), 0, CONTINUE_ON_FAILURE)",,,,2022-04-26 08:14:00,2022-04-26 08:14:00,0.147s,PASSED
"developerName = getText(findTestObject(""MayaHome/mayahome - MobileSpy 6/developerNameCEscreen - Txt""), 0)",,,,2022-04-26 08:14:00,2022-04-26 08:14:00,0.182s,PASSED
"println(""Property Name: "" + propertyName)",,,,2022-04-26 08:14:00,2022-04-26 08:14:00,0.003s,PASSED
"println(""Property Price: "" + propertyPrice)",,,,2022-04-26 08:14:00,2022-04-26 08:14:00,0.001s,PASSED
"println(""Property Size: "" + propertySize)",,,,2022-04-26 08:14:00,2022-04-26 08:14:00,0.000s,PASSED
"println(""Unit Type: "" + unitType)",,,,2022-04-26 08:14:00,2022-04-26 08:14:00,0.001s,PASSED
"println(""Developer Name"" + developerName)",,,,2022-04-26 08:14:00,2022-04-26 08:14:00,0.000s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 1/checkeligibility - Btn""), 0)",,,,2022-04-26 08:14:00,2022-04-26 08:14:01,0.535s,PASSED
,,,,,,,
Test Cases/MayaHome/mayahome_CEAgreementCheck,,,,2022-04-26 08:14:01,2022-04-26 08:14:26,25.287s,PASSED
"if (verifyElementExist(findTestObject(""MayaHome/mayahome - MobileSpy 2/header6DigitPin - Txt""), 0, OPTIONAL))",,,,2022-04-26 08:14:01,2022-04-26 08:14:15,13.721s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/checkEligibility - Header""), 0)",,,,2022-04-26 08:14:15,2022-04-26 08:14:24,9.430s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/checkEligibilityAgreement - Header""), 0)",,,,2022-04-26 08:14:24,2022-04-26 08:14:25,0.211s,PASSED
"verifyElementVisible(findTestObject(""MayaHome/mayahome - MobileSpy 6/checkEligibilityAgreement - Txt""), 0)",,,,2022-04-26 08:14:25,2022-04-26 08:14:25,0.222s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 1/termagreement - tickBtn""), 0)",,,,2022-04-26 08:14:25,2022-04-26 08:14:25,0.395s,PASSED
"tap(findTestObject(""MayaHome/mayahome - MobileSpy 1/confirm - Btn""), 0)",,,,2022-04-26 08:14:25,2022-04-26 08:14:26,1.096s,PASSED
,,,,,,,
Test Cases/MayaHome/mayahome_CEAgentPropertyData,,,,2022-04-26 08:14:26,2022-04-26 08:14:38,12.131s,PASSED
